product_type,product_name,product_desc,product_price,product_brand,product_model,product_wifi,product_bluetooth,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Desktops QWERTY,"HP Pavilion 570-p081nd","Op de HP Pavilion 570-p081nd werk je je administratie bij en bewerk je foto's. Je programma's zijn in enkele seconden klaar voor gebruik dankzij de 128 GB PCIe SSD, die nog sneller is dan een traditionele SSD. Het 16 GB werkgeheugen zorgt ervoor dat deze desktop zware processen snel uitvoert.  Voor films en foto's uit je collectie is ruimte zat op de 1 TB harde schijf. Pak de desktop uit en sluit hem aan op een monitor en ga dan meteen aan de gang.","649,-","HP","1NG42EA#ABH","Wireless AC","4.2","AMD A10 9700","AMD Radeon R7","2000 MB","16 GB","128 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"HP 260-a133nd","De HP 260-a133nd is geschikt om films op te kijken, de boekhouding te doen of een film te downloaden voor je digitale bibliotheek. Het 8 GB RAM geheugen zorgt ervoor dat je zonder moeite de meest recente vakantiekiekjes bewerkt voordat je ze bundelt in een album. Zelfs al maak je duizenden foto's, je bewaart ze allemaal op de 1 TB harde schijf. Ook voor je collectie films en series is meer dan genoeg ruimte. Het enige wat je nodig hebt om aan de slag te gaan met deze desktop is een monitor en aansluitkabels.","399,-","HP","1EU20EA#ABH","Wireless N, Wireless G, Wireless B","4.0","AMD A8 7410","AMD Radeon R5","None","8 GB","1 TB harde schijf","10 cm x 30,7 cm x 27,5 cm","4,4 kg"
Desktops QWERTY,"Intel Compute Stick 2016 (Windows 10)","Met de Intel Compute Stick (Windows 10) haal je een volwaardige windows 10 pc in huis, ter grootte van een flinke usb stick. Sluit de stick aan via HDMI aansluiting op je tv of monitor en je kunt direct aan de slag. Gebruik de stick voor je dagelijkse werkzaamheden, zoals tekstverwerken, surfen op het internet of stream je favoriete series. Door zijn kleine formaat neem je de Compute Stick eenvoudig met je mee. Je verbindt je muis en toetsenbord eenvoudig via bluetooth. Wil je je vakantiefoto's direct vanaf je camera bekijken? Plaats dan de MicroSD kaart in de stick en ze verschijnen rechtstreeks op het aangesloten scherm.","134,99","Intel","BOXSTK1AW32SC","Wireless AC","4.0","Intel Atom Z8300","Intel HD Graphics","None","2 GB","32 GB Flash","11,3 cm x 3,8 cm x 1,2 cm","0,12 kg"
Desktops QWERTY,"Asus VivoPC M32CD-K-NL013T","","949,-","Asus","90PD01J8-M24440","Wireless AC","4.1","Intel Core i5 7400","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","17,6 cm x 38 cm x 40,8 cm","8,29 kg"
Desktops QWERTY,"Lenovo Ideacentre 510S-08IKL 90GB0057MH","Gebruik de Lenovo Ideacentre 510S-08IKL 90GB0057MH om aan de slag te gaan met het bewerken van foto's en video's. Zet een eenvoudige video in elkaar of bewerk de meest recente foto's van de afgelopen vakantie. Of werk met twee of meer programma's tegelijkertijd zonder dat je hapering ondervindt door de Intel Core i5 processor. Stream je lievelingsplaylist via Spotify of kijk een film uit je mediabibliotheek. Bewaar naast je favoriete kiekjes en filmpjes alle overige bestanden op de 1 TB harde schijf. Door zijn compacte formaat past de pc makkelijk op je bureau of eronder.","599,-","Lenovo","90GB0057MH","Wireless AC","4.0","Intel Core i5 7400","NVIDIA GeForce GT 730","2000 MB","8 GB","1 TB harde schijf","9 cm x 29,7 cm x 34,4 cm","5,2 kg"
Desktops QWERTY,"HP Pavilion 570-p054nd","De HP Pavilion 570-p054nb desktop is geschikt om de boekhouding te doen of een foto te bewerken in Photoshop. Download bestanden en stream muziek tijdens het fotobewerken, want met de Core i5 processor werk je met meerdere programma's tegelijkertijd. Je programma's zijn in enkele seconden klaar voor gebruik dankzij de 256 GB PCIe SSD, die nog sneller is dan een traditionele SSD. Met de 1 TB harde schijf heb je genoeg opslagruimte voor al je media.","749,-","HP","1JT90EA#ABH","Wireless AC","4.2","Intel Core i5 7400","Intel HD Graphics 630","None","8 GB","256 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"HP All-In-One 20-c005nd","De HP All-In-One 20-c005nd is feitelijk een scherm met ingebouwde computer, zo bespaar je ruimte en heb je geen last meer van kabels. In deze rustige opstelling houd je de boekhouding bij in Excel, bestel je nieuwe schoenen via internet en bekijk je de leukste filmpjes op Youtube. Al je foto's, muziek en andere bestanden bewaar je op de 1 TB harde schijf. Coolblue busje voor de deur? Met het meegeleverde draadloze toetsenbord en muis ga je na levering meteen aan het werk.","439,-","HP","W3C96EA#ABH","Wireless N, Wireless G, Wireless B","4.0","AMD E2 AMD E2-7110","AMD Radeon R2","None","8 GB","1 TB harde schijf","49,5 cm x 37 cm x 18,4 cm","4,4 kg"
Desktops QWERTY,"Acer Aspire TC-780 Core i5","De Acer Aspire TC-780 Core i5 is een desktop voor alle digitale taken en geschikt voor het hele gezin. De kinderen werken aan verslagen voor school en ouders sturen mailtjes rond en bewerken de foto's van de afgelopen vakantie. Binnen 15 seconden na het aanzetten is de desktop gebruiksklaar door de 128 GB SSD. Op de 1 TB harde schijf is ruimte genoeg voor duizenden foto's, bestanden en je digitale filmcollectie. De desktop is net zo groot als anderhalf A4'tje, waardoor je hem makkelijk ergens neerzet. Sluit een muis, toetsenbord en een monitor aan op je nieuwe aanwinst en ga meteen aan de slag.","649,-","Acer","DT.B89EH.012","Wireless AC","4.0","Intel Core i5 7400","Intel HD Graphics 630","None","8 GB","128 GB SSD + 1 TB HDD","17,5 cm x 42,55 cm x 38,14 cm","8,8 kg"
Desktops QWERTY,"HP 260-a115nd","De HP 260-a115nd is een desktop die geschikt is voor basistaken als e-mailen, films kijken en je administratie bijhouden. Terwijl je een e-mail verstuurt, luister je op de achtergrond een muziekje via Spotify of download je een film voor vanavond. Op de 1 TB harde schijf kun je een hele collectie aan films en series kwijt. En al je vakantiefoto's. Door zijn breedte van 10 cm is de desktop makkelijk onder je bureau of er bovenop te plaatsen, zonder dat het veel ruimte in beslag neemt.","299,-","HP","1EU19EA#ABH","Wireless N, Wireless G, Wireless B","4.2","Intel Celeron J3060","Intel HD Graphics 400","None","4 GB","1 TB harde schijf","10 cm x 30,7 cm x 27,5 cm","4,4 kg"
Desktops QWERTY,"Asus G11CD-K-NL010T","De Asus G11CD-K-NL010T is een desktop voor de echte gamer. De krachtige NVIDIA GeForce GTX 1060 videokaart laat je games als For Honor en Dishonored 2 op ultra instellingen spelen. Of sluit je VR bril aan op de desktop en speel een game in virtual reality. Binnen 15 seconden is je desktop opgestart door de 128 GB SSD. Installeer je games op de SSD, dan laden ze tot wel 2 keer sneller dan als je ze op de harde schijf installeert. Neem je je gameplay op om te laten zien hoe goed je bent, dan heb je opslagruimte genoeg voor je killstreak video's op de 1 TB harde schijf. Maak een compilatievideo van je highlights en deel deze op YouTube.","1.399,-","Asus","90PD01L1-M17360","Wireless AC","4.1","Intel Core i7 7700","NVIDIA GeForce GTX 1060","6000 MB","16 GB","128 GB SSD + 1 TB HDD","17,6 cm x 42,2 cm x 44 cm","9,8 kg"
