product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_response,product_brightness,product_refresh,product_screentype,product_connection,product_dimensions,product_weight
Monitoren,"Philips 243V7QDAB","139,-","Philips","243V7QDAB/00","23,8 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","54 cm x 20,9 cm x 41,5 cm","3,5 kg"
Monitoren,"LG 34UC98-W","899,-","LG","34UC98-W","34 inch","3440 x 1440 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Thunderbolt, USB-type A","81,8 cm x 23,1 cm x 45,2 cm","7,8 kg"
Monitoren,"Philips 328P6VJEB/00","549,-","Philips","328P6VJEB/00","32 inch","3840 x 2160 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","74,2 cm x 27 cm x 65,7 cm","9,23 kg"
Monitoren,"BenQ Zowie RL2455","169,-","BenQ","9H.LF4LB.DBE","24 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","57,9 cm x 18,9 cm x 43,5 cm","4,1 kg"
Monitoren,"LG 24M47VQ","119,-","LG","24M47VQ-P","24 inch","1920 x 1080 pixels","2 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,7 cm x 19,7 cm x 43,8 cm","2,8 kg"
Monitoren,"LG 27UD58P","429,-","LG","27UD58P-B.AEU","27 inch","3840 x 2160 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon","63,25 cm x 25,15 cm x 43,43 cm","7,4 kg"
Monitoren,"Dell Ultrasharp U2715H","429,-","Dell","210-ADSO","27 inch","2560 x 1440 pixels","8 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A","61,27 cm x 20,5 cm x 52,49 cm","4,91 kg"
Monitoren,"Philips 240V5QDAB","119,-","Philips","240V5QDAB/00","24 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","55,3 cm x 21,9 cm x 42 cm","4,09 kg"
Monitoren,"AOC i2475PXQU","169,-","AOC","i2475PXQU","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, DisplayPort, Hoofdtelefoon, USB-type A","55,44 cm x 21,29 cm x 48,9 cm","3,03 kg"
Monitoren,"AOC G2460VQ6","139,-","AOC","G2460VQ6","24 inch","1920 x 1080 pixels","1 ms","None","75 Hz","TN paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","56,54 cm x 2,193 cm x 41,16 cm","4,27 kg"
Monitoren,"Philips 223V5LHSB2/00","99,-","Philips","223V5LHSB2/00","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","HDMI, VGA","50,3 cm x 21,3 cm x 37,6 cm","2,61 kg"
Monitoren,"Samsung S24F352","129,-","Samsung","LS24F352FHUXEN","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","PLS paneel","HDMI, VGA","54,77 cm x 20,65 cm x 41,8 cm","3,3 kg"
Monitoren,"AOC i2790PQU/BT","219,-","AOC","i2790PQU/BT","27 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","61,26 cm x 20 cm x 53 cm","5,8 kg"
Monitoren,"iiyama ProLite XB2783HSU-B1","199,-","Iiyama","XB2783HSU-B1","27 inch","1920 x 1080 pixels","4 ms","None","75 Hz","AMVA paneel","HDMI, VGA, DVI, Hoofdtelefoon, USB-type A","62,25 cm x 23 cm x 53,05 cm","6 kg"
Monitoren,"Philips 243S7EHMB/00","159,-","Philips","243S7EHMB/00","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, Hoofdtelefoon","54 cm x 20,2 cm x 48,3 cm","5 kg"
Monitoren,"Philips 278E8QJAB","199,-","Philips","278E8QJAB/00","27 inch","1920 x 1080 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon","62 cm x 18,9 cm x 47 cm","4,8 kg"
Monitoren,"Dell Ultrasharp U2515H","329,-","Dell","210-ADZG","25 inch","2560 x 1440 pixels","6 ms","None","60 Hz","IPS paneel","HDMI, DisplayPort, Hoofdtelefoon, USB-type A","56,9 cm x 20,5 cm x 51,25 cm","6,8 kg"
Monitoren,"iiyama E2483HS","139,-","Iiyama","E2483HS-B1","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI, Hoofdtelefoon","56,55 cm x 20,3 cm x 41,2 cm","3,4 kg"
Monitoren,"iiyama ProLite XUB2492HSU-B1","189,-","Iiyama","XUB2492HSU-B1","24 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","53,95 cm x 23 cm x 50,6 cm","5,4 kg"
Monitoren,"iiyama ProLite XB2483HSU-B2","179,-","Iiyama","XB2483HSU-B2","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","VA paneel","HDMI, VGA, DVI, USB-type A","55,25 cm x 23 cm x 38,1 cm","5,6 kg"
Monitoren,"Philips 323E7QDAB/00","239,-","Philips","323E7QDAB/00","32 inch","1920 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","70,3 cm x 21,6 cm x 52,2 cm","6,9 kg"
Monitoren,"BenQ GW2270H","99,-","BenQ","9H.LE6LA.TBE","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","VA paneel","HDMI, VGA, Hoofdtelefoon","54,6 cm x 26,8 cm x 47,6 cm","4 kg"
Monitoren,"AOC i2490PXQU/BT","189,-","AOC","i2490PXQU/BT","24 inch","1920 x 1080 pixels","4 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, Hoofdtelefoon, USB-type A","54 cm x 20 cm x 50 cm","3,2 kg"
Monitoren,"Samsung LS27E330H","179,-","Samsung","LS27E330HSX/EN","27 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA","64,33 cm x 20,07 cm x 46,31 cm","4,9 kg"
Monitoren,"Samsung LU28E570DS/EN","349,-","Samsung","LU28E570DS/EN","28 inch","3840 x 2160 pixels","1 ms","None","60 Hz","TN paneel","HDMI, DisplayPort, Hoofdtelefoon","66,09 cm x 18,71 cm x 46,9 cm","5,28 kg"
Monitoren,"LG 25UM58","169,-","LG","25UM58","25 inch","2560 x 1080 pixels","5 ms","None","75 Hz","IPS paneel","HDMI, Hoofdtelefoon","60,9 cm x 18,8 cm x 38,3 cm","4 kg"
Monitoren,"Acer K222HQLbid","99,-","Acer","UM.WW3EE.005","22 inch","1920 x 1080 pixels","5 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI","50,8 cm x 20,7 cm x 39,1 cm","3,6 kg"
Monitoren,"BenQ GW2470H","129,-","BenQ","9H.LDMLB.QBE","24 inch","1920 x 1080 pixels","4 ms","None","75 Hz","AMVA paneel","HDMI, VGA","55,3 cm x 18,9 cm x 42,5 cm","4 kg"
Monitoren,"Philips 273V7QDAB","189,-","Philips","273V7QDAB","27 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI, Hoofdtelefoon","61,2 cm x 22,7 cm x 54 cm","4,5 kg"
Monitoren,"BenQ Zowie XL2411","259,-","BenQ","9H.LELLB.RBE","24 inch","1080 x 1920 pixels","1 ms","None","144 Hz","TN paneel","HDMI, VGA, DVI","57 cm x 34,84 cm x 63,26 cm","6 kg"
Monitoren,"Philips 243V5LHAB","119,-","Philips","243V5LHAB/00","24 inch","1920 x 1080 pixels","1 ms","None","60 Hz","TN paneel","HDMI, VGA, DVI","55,1 cm x 22 cm x 42 cm","3,66 kg"
Monitoren,"HP EliteDisplay E240","229,-","HP","M1N99AT#ABB","24 inch","1920 x 1080 pixels","7 ms","None","60 Hz","IPS paneel","HDMI, VGA, DisplayPort, USB-type A","55,72 cm x 18,9 cm x 35,91 cm","5,8 kg"
Monitoren,"Asus VC239H","139,-","Asus","90LM01E0-B02170","23 inch","1920 x 1080 pixels","5 ms","None","60 Hz","IPS paneel","HDMI, VGA, DVI","53,32 cm x 19,96 cm x 37,32 cm","5,2 kg"
