product_type,product_name,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Muizen,"Trust Vivy Draadloos Mini Muis Zwart","16,99","Trust","17639","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,8 cm x 5 cm x 3,5 cm","Zwart"
Muizen,"Logitech Wireless Mouse M235","29,99","Logitech","910-002201","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,5 cm x 9,5 cm x 3,86 cm","Grijs, Zwart"
Muizen,"Microsoft Wireless Mobile Mouse 3500","28,99","Microsoft","GMF-00292","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","5,62 cm x 9,54 cm x 4,03 cm","Zwart"
Muizen,"Trust Primo Optische Muis Zwart","14,99","Trust","21791","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Bedraad","Nee","5,5 cm x 9 cm x 3,5 cm","Zwart"
Muizen,"Apple Magic Mouse 2","82,99","Apple","mla02z/a","Full-size","Linkshandig, Rechtshandig","None","Laser","None","Draadloos","Nee","5,71 cm x 11,35 cm x 2,16 cm","Wit"
Muizen,"Logitech M280 Draadloze Muis Zwart","24,99","Logitech","910-004287","Compact","Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","10,54 cm x 6,79 cm x 3,84 cm","Zwart"
Gaming muizen,"Logitech G502 Proteus Spectrum","69,-","Logitech G","910-004618","None","Rechtshandig","11 knoppen","Optisch","None","Bedraad","Ja","7,5 cm x 13,2 cm x 4 cm","Zwart"
Muizen,"Logitech M720 Triathlon Bluetooth Muis","68,99","Logitech","910-004791","Full-size","Rechtshandig","8 knoppen","Optisch","None","Draadloos","Nee","7,4 cm x 11,5 cm x 4,5 cm","Zwart, Zilver"
Gaming muizen,"Logitech G900 Chaos Spectrum","119,99","Logitech G","910-004608","None","Linkshandig, Rechtshandig","7 knoppen","Optisch","None","Draadloos","Ja","6,7 cm x 13 cm x 4 cm","Zwart"
Gaming muizen,"Trust GXT 158","29,99","Trust","20324","None","Linkshandig, Rechtshandig","8 knoppen","Laser","None","Bedraad","None","7,6 cm x 12,3 cm x 3,6 cm","Blauw, Rood, Wit"
Muizen,"Veripart Compacte Draadloze Muis","14,99","Veripart","21740","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","6 cm x 2,7 cm x 10,7 cm","Grijs, Zwart"
Muizen,"HP X3500 Draadloze Muis Zwart","24,99","HP","H4K65AA","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","6,92 cm x 11,9 cm x 3,81 cm","Zwart"
Muizen,"HP X1500 Optische Muis","17,99","HP","H4K66AA","Full-size","Linkshandig, Rechtshandig","None","Optisch","None","Bedraad","Nee","6,9 cm x 3,8 cm x 11,9 cm","Zwart"
Muizen,"Logitech Wireless Mouse M705","49,99","Logitech","910-001949","Compact","Rechtshandig","5 knoppen","Laser","None","Draadloos","Nee","10,9 cm x 4 cm x 7 cm","Grijs, Zwart"
Muizen,"Logitech MX Anywhere 2 Wireless Muis","59,99","Logitech","910-004374","Compact","Rechtshandig","5 knoppen","Laser","None","Draadloos","Nee","6,16 cm x 10,03 cm x 3,44 cm","Zwart"
Muizen,"Logitech MX Master Wireless Muis","74,99","Logitech","910-004362","Full-size","Rechtshandig","7 knoppen","Laser","None","Draadloos","Nee","8,57 cm x 12,6 cm x 4,84 cm","Zwart"
Muizen,"Logitech Corded Mouse M500","39,99","Logitech","910-003726","Full-size","Rechtshandig","4 knoppen","Laser","None","Bedraad","Nee","6,9 cm x 12,6 cm x 4,2 cm","Grijs"
Muizen,"HP X4500 Draadloze Muis","29,99","HP","H2W26AA","Full-size","Rechtshandig","3 knoppen","Laser","None","Draadloos","Nee","11,395 cm x 7,42 cm x 3,85 cm","Zwart"
Muizen,"Trust Yvi Draadloze Muis Zwart","16,99","Trust","18519","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Zwart"
Muizen,"Logitech M330 Silent Draadloze Muis Zwart","32,99","Logitech","910-004909","Compact","Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","10,54 cm x 3,84 cm x 6,79 cm","Zwart"
