product_type,product_name,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Canon PIXMA MG5750","57,-","Canon","0557C006AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Inkjetprinters,"Epson Expression Premium XP-640","99,-","Epson","C11CF50403","All-in-one","Inkjet","A4","5760 x 1440","13 ppm","10 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,7 kg"
Labelprinters,"DYMO LabelWriter 450 Bundel","59,99","Dymo","DYM-1896042","None","None","None","300 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Inkjetprinters,"HP OfficeJet Pro 8725 e-All-in-One (M9L80A)","219,-","HP","K7S35A","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Laserprinters,"Samsung Xpress SL-M2026W","68,99","Samsung","SL-M2026W/SEE","Alléén printen","Laser","A4","1200 x 1200","20 ppm","None","None","33,1 cm x 21,5 cm x 17,8 cm","4 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fdw","399,-","HP","CF379A","All-in-one","Laser","A4","600 x 600","27 ppm","27 ppm","0,256 GB","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Inkjetprinters,"Canon PIXMA MG3053 Blauw Wit","49,99","Canon","1346C066AA","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Inkjetprinters,"Epson EcoTank ET-2650","259,-","Epson","C11CF47402","All-in-one","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","5 kg"
Labelprinters,"DYMO LabelManager 280","59,-","Dymo","S0968920","None","None","None","None","None","None","None","10,8 cm x 20,6 cm x 4,7 cm","0,4 kg"
Inkjetprinters,"HP ENVY 4526 All-in-One","59,99","HP","K9T05B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,7 cm x 12,8 cm","5,41 kg"
Inkjetprinters,"HP ENVY 5640 All-in-One","79,-","HP","B9S59A","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,128 GB","45,4 cm x 41 cm x 16,1 cm","6,82 kg"
