product_type,product_name,product_desc,product_price,product_brand,product_model,product_wifi,product_bluetooth,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Desktops QWERTY,"Apple iMac 27'' (2017) MNE92N/A 3,4 GHz 5K","Apple iMac 27'' MNE92N/A 3,4 GHz 5K is voor grafische ontwerpers die in de hoogst mogelijke resolutie aan hun projecten werken. Op het 5K display zijn zelfs de kleinste details van je ontwerpen zichtbaar. Of maak een video in 4K met Final Cut Pro. Door de krachtige AMD Radeon Pro 570 videokaart worden zelfs de scherpste beelden vloeiend weergegeven op het beeldscherm. Sluit tot 2 4K beeldschermen aan via de Thunderbolt 3 poorten op deze iMac. Zo heb je extra veel schermruimte tot je beschikking om te multitasken. Omdat een Magic muis en toetsenbord worden meegeleverd bij iMac, ben je na het uitpakken al direct klaar om aan de slag te gaan met iMac.","2.099,-","Apple","MNE92N/A","Wireless AC","4.0","Intel Core i5 7500","AMD Radeon Pro 570","None","8 GB","1 TB Fusion Drive","65 cm x 2,03 cm x 51,6 cm","9,54 kg"
Desktops QWERTY,"Apple iMac 21,5'' (2017) MNDY2N/A 3.0 GHz Retina 4K","Met het 4K display is Apple iMac 21,5'' MNDY2N/A 3.0 GHz Retina 4K voor grafische professionals die veel afbeeldingen of video's bewerken. Door de krachtige AMD Radeon Pro 555 videokaart render je zonder hapering een 4K video of leg je de laatste hand aan een 3D ontwerp. Extra schermruimte nodig? Sluit dan 1 of 2 extra 4K beeldschermen aan via de Thunderbolt 3 poorten. Of zet data over: door de overdrachtsnelheid van 40Gbps zijn zelfs de grootste afbeeldingen binnen enkele seconden overgezet. Je krijgt bij iMac een Magic muis en Magic toetsenbord meegeleverd. Hierdoor ga je na het uitpakken en het aansluiten meteen met je aankoop aan de slag.","1.379,-","Apple","MNDY2N/A","Wireless AC","4.0","Intel Core i5 None","AMD Radeon Pro 555","2000 MB","8 GB","1 TB harde schijf","52,8 cm x 2,03 cm x 45 cm","5,68 kg"
Desktops QWERTY,"Intel Compute Stick 2016 (Windows 10)","Met de Intel Compute Stick (Windows 10) haal je een volwaardige windows 10 pc in huis, ter grootte van een flinke usb stick. Sluit de stick aan via HDMI aansluiting op je tv of monitor en je kunt direct aan de slag. Gebruik de stick voor je dagelijkse werkzaamheden, zoals tekstverwerken, surfen op het internet of stream je favoriete series. Door zijn kleine formaat neem je de Compute Stick eenvoudig met je mee. Je verbindt je muis en toetsenbord eenvoudig via bluetooth. Wil je je vakantiefoto's direct vanaf je camera bekijken? Plaats dan de MicroSD kaart in de stick en ze verschijnen rechtstreeks op het aangesloten scherm.","144,99","Intel","BOXSTK1AW32SC","Wireless AC","4.0","Intel Atom Z8300","Intel HD Graphics","None","2 GB","32 GB Flash","11,3 cm x 3,8 cm x 1,2 cm","0,12 kg"
Desktops QWERTY,"HP Pavilion 570-p071nd","Bewerk foto's en video's en speel je favoriete games op de HP Pavilion 570-p071nd. De NVIDIA GeForce GTX 1050 videokaart kan de meeste games op hoge instellingen aan en zorgt ervoor dat je zonder haperingen de mooiste video's in elkaar zet. Met de Core i7 processor werk je met meerdere zware programma's tegelijkertijd en met 16 GB werkgeheugen voer je zware taken snel uit. De 128 GB PCIe SSD start je programma's sneller op dan een traditionele SSD, waardoor je in een paar seconden met een nieuw level begint. Bewaar al je bestanden op de 1 TB harde schijf.","1.099,-","HP","1NG41EA#ABH","Wireless AC","4.2","Intel Core i7 7700","NVIDIA GeForce GTX 1050","2000 MB","16 GB","128 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"Medion Akoya P4603 D","Met de Medion Akoya P4603 D haal je een desktop voor het hele gezin in huis. Door de dedicated videokaart spelen de kids games en bewerken de ouders zonder haperingen foto's voor in het nieuwe fotoalbum. Veelgebruikte programma's start je binnen enkele seconden op via de 120 GB SSD. Op de 1 TB harde schijf bewaar je muziek, films en foto's. Door de Intel Core i5 processor multitask je zonder problemen: download een film op de achtergrond terwijl je de laatste hand legt aan het photoshoppen van de vakantiefoto's.","699,-","Medion","10021809","Wireless AC","4.0","Intel Core i5 7400","NVIDIA GeForce GTX 1050","2000 MB","8 GB","120 GB SSD + 1 TB HDD","40 cm x 18 cm x 36 cm","7 kg"
Desktops QWERTY,"HP 260-a133nd","De HP 260-a133nd is geschikt om films op te kijken, de boekhouding te doen of een film te downloaden voor je digitale bibliotheek. Het 8 GB RAM geheugen zorgt ervoor dat je zonder moeite de meest recente vakantiekiekjes bewerkt voordat je ze bundelt in een album. Zelfs al maak je duizenden foto's, je bewaart ze allemaal op de 1 TB harde schijf. Ook voor je collectie films en series is meer dan genoeg ruimte. Het enige wat je nodig hebt om aan de slag te gaan met deze desktop is een monitor en aansluitkabels.","399,-","HP","1EU20EA#ABH","Wireless N, Wireless G, Wireless B","4.0","AMD A8 7410","AMD Radeon R5","None","8 GB","1 TB harde schijf","10 cm x 30,7 cm x 27,5 cm","4,4 kg"
Desktops QWERTY,"MSI Nightblade 3 VR7RD-007EU","Met de MSI Nightblade 3 VR7RD-007EU speel je je favoriete games op ultra instellingen. Want met de NVIDIA GeForce GTX 1070 videokaart aan boord is de Nightblade opgewassen tegen de grafische vereisten van zelfs de zwaarste games. De krachtige videokaart biedt je ook een ingang tot de wereld van VR. Het is een kwestie van je Oculus Rift of HTC Vive aansluiten en je dompelt jezelf onder in een virtuele wereld. Games die je veel speelt, installeer je op de 128 GB SSD waardoor ze tot 2 keer sneller opstarten dan via de harde schijf. Bewaar de harde schijf dan ook voor je screenshots, video's en filmbibliotheek. Bij deze MSI krijg je een headset, om direct je teamgenoten te verstaan.","1.299,-","MSI","Nightblade 3 VR7RD-007EU","Wireless AC","4.0","Intel Core i5 7400","NVIDIA GeForce GTX 1070","8000 MB","16 GB","128 GB SSD + 1 TB HDD","17,7 cm x 42,6 cm x 29,4 cm","7,4 kg"
Desktops QWERTY,"Acer Aspire TC-780 Core i5","De Acer Aspire TC-780 Core i5 is een desktop voor alle digitale taken en geschikt voor het hele gezin. De kinderen werken aan verslagen voor school en ouders sturen mailtjes rond en bewerken de foto's van de afgelopen vakantie. Binnen 15 seconden na het aanzetten is de desktop gebruiksklaar door de 128 GB SSD. Op de 1 TB harde schijf is ruimte genoeg voor duizenden foto's, bestanden en je digitale filmcollectie. De desktop is net zo groot als anderhalf A4'tje, waardoor je hem makkelijk ergens neerzet. Sluit een muis, toetsenbord en een monitor aan op je nieuwe aanwinst en ga meteen aan de slag.","649,-","Acer","DT.B89EH.012","Wireless AC","4.0","Intel Core i5 7400","Intel HD Graphics 630","None","8 GB","128 GB SSD + 1 TB HDD","17,5 cm x 42,55 cm x 38,14 cm","8,8 kg"
Desktops QWERTY,"HP Pavilion 570-p054nd","De HP Pavilion 570-p054nb desktop is geschikt om de boekhouding te doen of een foto te bewerken in Photoshop. Download bestanden en stream muziek tijdens het fotobewerken, want met de Core i5 processor werk je met meerdere programma's tegelijkertijd. Je programma's zijn in enkele seconden klaar voor gebruik dankzij de 256 GB PCIe SSD, die nog sneller is dan een traditionele SSD. Met de 1 TB harde schijf heb je genoeg opslagruimte voor al je media.","749,-","HP","1JT90EA#ABH","Wireless AC","4.2","Intel Core i5 7400","Intel HD Graphics 630","None","8 GB","256 GB SSD + 1 TB HDD","16,3 cm x 31,5 cm x 30,7 cm","5,7 kg"
Desktops QWERTY,"HP ProDesk 400 G4 1JJ60EA","Analyseer je zakelijke sheets en bewerk afbeeldingen voor je website op de HP ProDesk 400 G4 1JJ60EA. Dankzij de Core i5 processor werk je gemakkelijk met meerdere programma's tegelijkertijd. Werk je met privacygevoelige informatie? De ingebouwde TPM chip slaat je bestanden versleuteld op, zodat er niemand anders bij kan. Met Windows 10 Pro maak je makkelijk verbinding met andere computers, waardoor je bijvoorbeeld met een laptop toegang hebt tot jouw ProDesk. Lange laadtijden zijn verleden tijd, want de 256 GB SSD start je programma's en bestanden in enkele seconden op. Ga meteen aan de slag, want een toetsenbord en muis zijn standaard meegeleverd.","749,-","HP","1JJ60EA#ABH","None","None","Intel Core i5 7500","Intel HD Graphics 630","None","8 GB","256 GB SSD","27 cm x 29,6 cm x 9,5 cm","4,6 kg"
