product_type,product_name,product_price,product_brand,product_model,product_keyboardtype,product_numpad,product_layout,product_mech,product_prog,product_media,product_connection,product_dimensions,product_light
Toetsenborden QWERTY,"Logitech K270 Draadloos Toetsenbord QWERTY","29,99","Logitech","920-003736","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","47 cm x 16 cm x 2 cm","Nee"
Toetsenborden QWERTY,"Logitech K740 Verlicht Toetsenbord QWERTY","62,99","Logitech","920-005696","Number pad, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Bedraad","45,6 cm x 19 cm x 0,9 cm","Ja"
Toetsenborden QWERTY,"Apple Magic Keyboard met numeriek toetsenblok QWERTY","149,-","Apple","MQ052N/A","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","41,87 cm x 11,49 cm x 1,09 cm","Nee"
Toetsenborden QWERTY,"Apple Magic Keyboard QWERTY","119,-","Apple","MLA22Z/A","Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","27,9 cm x 11,49 cm x 0,41 cm","Nee"
Toetsenborden QWERTY,"Logitech K375s Toetsenbord QWERTY","43,99","Logitech","920-008181","Toetsenbord","Ja","QWERTY UK layout","Nee","Ja","Ja","Draadloos","43,5 cm x 20 cm x 1,4 cm","Nee"
Toetsenborden QWERTY,"Ewent Bluetooth Toetsenbord","27,99","Ewent","EW3163","Toetsenbord","Nee","QWERTY US layout","Nee","Ja","Ja","Draadloos","28,5 cm x 12 cm x 0,5 cm","Nee"
Toetsenborden QWERTY,"Trust Classic Line Toetsenbord QWERTY","22,99","Trust","20517","Stand, Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","46 cm x 17 cm x 3,2 cm","Nee"
Toetsenborden QWERTY,"Logitech K120 Toetsenbord QWERTY","26,99","Logitech","920-002508","Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Bedraad","45 cm x 15,5 cm x 2,4 cm","Nee"
Toetsenborden QWERTY,"Logitech K800 Illuminated Draadloos Toetsenbord QWERTY","99,99","Logitech","920-002380","Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Ja","Draadloos","47 cm x 19,5 cm x 2,7 cm","Ja"
Toetsenborden QWERTY,"HP USB Toetsenbord QY776AA Qwerty","34,99","HP","QY776AA#ABB","Number pad, Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","42,2 cm x 16,4 cm x 2,4 cm","Nee"
Toetsenborden QWERTY,"Logitech K400 Plus Wireless Touch Zwart QWERTY","44,99","Logitech","920-007145","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","35,43 cm x 2,35 cm x 13,99 cm","Nee"
Toetsenborden QWERTY,"Logitech K360 Draadloos Toetsenbord QWERTY","44,99","Logitech","920-003080","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Draadloos","38,06 cm x 15,56 cm x 1,93 cm","Nee"
Toetsenborden QWERTY,"Microsoft Natural Ergonomic Keyboard 4000 Qwerty","59,99","Microsoft","B2M-00006","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Ja","Bedraad","53 cm x 29 cm x 8 cm","Nee"
Toetsenborden QWERTY,"Logitech K830 Draadloos Touch Toetsenbord QWERTY","95,-","Logitech","920-006093","Touchpad, Toetsenbord","Nee","QWERTY UK layout","Nee","Nee","Ja","Draadloos","36,7 cm x 12,55 cm x 1,65 cm","Ja"
Toetsenborden QWERTY,"Trust Classicline Bedraad Toetsenbord en Muis QWERTY","24,99","Trust","21392","Toetsenbord","Ja","QWERTY US layout","Nee","Nee","Nee","Bedraad","43,5 cm x 14,5 cm x 2,5 cm","Nee"
Toetsenborden QWERTY,"HP Klassiek Toetsenbord met Snoer QWERTY","24,99","HP","WZ972AA","Number pad, Toetsenbord","Ja","QWERTY UK layout","Nee","Nee","Nee","Bedraad","46 cm x 15 cm x 3,05 cm","Nee"
