product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"HP ENVY 5640 All-in-One","De HP ENVY 5640 is een All-in-One inkjet printer voor thuis. Print je reisfoto's, selfies en ander beeldmateriaal gedetailleerd uit dankzij de hoge afdrukresolutie van 1.200 bij 4.800 dpi. Fotopapier bewaar je in de afzonderlijke papierlade, waardoor je beeldmateriaal scheidt van normale tekstdocumenten. Bovendien print het apparaat zonder witte stroken, waardoor je papier bedekt is van rand tot rand. Printopdrachten versturen is een fluitje van een cent. Met de HP app print je binnen een paar minuten foto's en documenten vanaf je smartphone of tablet. Druk rapporten, e-mails of andere documenten automatisch dubbelzijdig af waardoor je papier bespaart. Daarnaast is de printer eenvoudig te delen via wifi.","64,99","HP","B9S59A#BHC","None","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,128 GB","45,4 cm x 41 cm x 16,1 cm","6,82 kg"
Inkjetprinters,"HP OfficeJet Pro 7740 All-in-One (G5J38A)","Zet deze HP OfficeJet Pro 7740 All-in-One (G5J38A) in een klein kantoor en je print, scant kopiëert en faxt met één apparaat. Druk documenten uit met 22 pagina's per minuut of print automatisch dubbelzijdig en bespaar op het papiergebruik. Onderweg naar kantoor kom je erachter dat je handouts bent vergeten uit te printen? Voer de printtaak uit met de HP Printer Remote app en je printjes staan klaar wanneer je aankomt. Gebruik het 2,65 inch kleuren touchscreen op de HP 7740 om printopdrachten te geven zonder tussenkomst van een pc. En met twee papierlades van elke 250 vellen hoef je minder vaak papier bij te vullen.","199,-","HP","G5J38A#A80","None","Inkjet","A3","4800 x 1200","22 ppm","18 ppm","0,512 GB","58,4 cm x 46,7 cm x 38,3 cm","19,5 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fdw","De HP Color LaserJet Pro MFP M477fdw is een All-in-one laserprinter voor middelgrote bedrijven. De printer drukt automatisch dubbelzijdig af én heeft wifi. Zo print, scan, kopieer en fax je tegelijk met de gehele werkgroep via dezelfde printer. De M477fdw is daarnaast via het 10,9 cm touchscreen aan de voorkant van de printer te bedienen. Zo hoef je niet eerst de pc op te starten om een opdracht uit te voeren. Ook als je vaak op je laptop, smartphone of tablet werkt, biedt de M477fdw uitkomst. Download de HP ePrint app en je verstuurt draadloos opdrachten naar de printer.","399,-","HP","CF379A#B19","None","Laser","A4","600 x 600","27 ppm","27 ppm","0,256 GB","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Laserprinters,"HP Color LaserJet Pro MFP M277dw","De HP Color LaserJet Pro MFP M277dw is een all-in-one voor werkgroepen tot 10 personen. Diverse functies maken deze printer geschikt voor zakelijk gebruik. Zo print je automatisch dubbelzijdig, en print je tot een snelheid van 18 pagina's per minuut. Wil je liever niet dat anderen je printopdracht te zien krijgen? Met behulp van een pincode kun je jouw printopdrachten vergrendelen, totdat je zelf bij de printer bent.","269,-","HP","B3Q11A#B19","None","Laser","A4","600 x 600","18 ppm","18 ppm","0,256 GB","42 cm x 41,7 cm x 32,2 cm","16,3 kg"
Inkjetprinters,"HP PageWide Pro 477dw","De HP PageWide Pro 477dw is een printer, scanner, fax- en kopieerapparaat in één voor op kantoor. De 477dw werkt iets anders dan een inkjetprinter. De 1.200 minuscule spuitmondjes spuiten namelijk de inkt synchroon op het papier waardoor je in 1 keer de volle breedte van de pagina bedrukt. De printsnelheid is hierdoor 40 pagina's per minuut. Doordat de cartridges geen printkop hebben, is verstopping - zoals bij een inkjetprinter - niet mogelijk. Dankzij het werkgeheugen van 768 MB voert de printer meerdere printopdrachten achter elkaar uit. Je deelt de printer via wifi en print rechtstreeks vanaf je mobiel of laptop. Of verbind deze via netwerkkabel met het bedrijfsnetwerk zodat je collega's ook opdrachten naar de printer sturen. Dankzij de netwerkkabel worden je bestanden altijd beveiligd verstuurd.","399,-","HP","D3Q20B#A80","None","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,768 GB","53 cm x 40,7 cm x 46,7 cm","22,15 kg"
Inkjetprinters,"HP OfficeJet Pro 8725 e-All-in-One (M9L80A)","De HP OfficeJet Pro 8725 e-All-in-One (M9L80A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen zonder tussenkomst van een pc in op het 11 cm grote touchscreen. Verbind je laptop of mobiel via wifi en print automatisch dubbelzijdig en benut je beide kanten van het papier. Dankzij de dubbelzijdige automatische documenteninvoer (DADF) scan en kopieer je tot 50 documenten in één moeite dubbelzijdig. Scan kwetsbare documenten in met de ingebouwde flatbedscanner.","199,-","HP","K7S35A#BHC","None","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Inkjetprinters,"HP ENVY 4526 All-in-One","Deze HP ENVY 4526 All-in-One inkjetprinter is een wifi printer voor thuis. Verstuur je printjes draadloos via het netwerk. Of verbind je smartphone of tablet direct met de printer, zonder verbonden te zijn via wifi. Dankzij het 5,5 cm grote touchscreen stel je de printer gemakkelijk in zonder dat er een pc bij komt kijken. Verder maakt de printresolutie van 1.200 bij 4.800 dpi deze HP printer geschikt voor het afdrukken van foto's. Dankzij de 'stille modus' maakt de printer tijdelijk minder geluid. Hierdoor print je ook in de late uurtjes je project nog uit. En door de automatisch uitschuifbare uitvoerlade vallen je printjes na het afdrukken niet op de grond.","49,-","HP","K9T05B","None","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,7 cm x 12,8 cm","5,41 kg"
Inkjetprinters,"Canon PIXMA MG3650 Zwart","De Canon PIXMA MG3650 is een basis printer voor thuis. Print je wel eens kaartjes voor de bioscoop, concerten of vliegtickets? Deze printer doet dat dubbelzijdig, waardoor je papier bespaart. Je verstuurt je printopdracht draadloos via wifi vanaf je smartphone, pc, laptop, of tablet naar je printer. Download de Canon PRINT app en je stuurt direct scans en kopieën naar je telefoon. Dankzij de resolutie van 4.800 bij 1.200 dpi is de printer ook geschikt om scherpe foto's af te drukken. Bovendien drukt je printer ook je foto's af van applicaties zoals Flickr, Instagram en Facebook.","49,-","Canon","0515C006","None","Inkjet","A4","4800 x 1200","10 ppm","6 ppm","None","44,9 cm x 30,4 cm x 15,2 cm","5,4 kg"
Labelprinters,"DYMO LabelWriter 450 Bundel","Met deze DYMO LabelWriter 450 Bundel labelprinter maak je etiketten van 62mm breed en orden je al je mappen, (pakket)post en collega's. De labels worden door middel van warmte direct overgebracht op hittegevoelige labels, waardoor je je nooit zorgen hoeft te maken over het kopen van inkt. Sluit de labelprinter aan op je pc of Mac en met behulp van de DYMO Label Software druk je teksten op etiketten meteen af vanuit Word, Outlook, Quickbooks, Cardscan of het adresboek van je Mac.","59,99","Dymo","1896042","None","None","None","300 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Inkjetprinters,"Epson Expression Premium XP-640","De Epson Expression Premium XP-640 is een fotoprinter voor veeleisende gebruikers. Druk je vakantiefoto's, promomateriaal en zelf ontworpen kaarten af in hoge kwaliteit. Met een afdrukresolutie van 5.760 dpi x 1.440 dpi weet je zeker dat je foto's gedetailleerd geprint worden. En dat van rand tot rand zonder witte stroken. Door de toevoeging van een fotozwarte cartridge print je jouw foto's en afbeeldingen in diepzwarte tinten. De printer heeft twee papierlades waarvan één speciaal voor fotopapier zodat de printer automatisch bij foto's het juiste papier kiest. Ben je onderweg? Vanaf je telefoon stuur je via Google Cloud printing een printopdracht zodat je prints klaarliggen wanneer je thuiskomt. Kies je bij tekstprints voor de functie dubbelzijdig afdrukken, dan bespaar je op papiergebruik. Heb je geen pc bij de hand, gebruik dan het 6,8 inch kleuren touchscreen van de Epson Expression Premium XP-640 en print je opdrachten direct vanaf een geheugenkaart.","89,-","Epson","C11CF50403","None","Inkjet","A4","5760 x 1440","13 ppm","10 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,7 kg"
